channel_id,channel_title,description,published_at,country,playlist_id,view_count,subscriber_count,video_count
UCqXwKu6dKobXEQFhdKtiJLQ,핑크퐁 (인기 동요・동화),"전 세계 어린이들의 마음을 사로잡은 핑크퐁!

글로벌 엔터테인먼트 기업 더핑크퐁컴퍼니의 브랜드 ‘핑크퐁’의 공식 한국어 유튜브 채널입니다.

5,000여편이 넘는 핑크퐁 동요・동화 영상 콘텐츠는 유아 교육 전문가들이 자체적으로 제작하고 있습니다.

신나는 핑크퐁 동요∙동화를 보면서 표정과 색깔, 동식물, 공룡 이름, 알파벳까지 배워보세요!

핑크퐁 공식 유튜브 채널을 구독하시면
매주 업로드되는 영상을 가장 빠르게 만나보실 수 있습니다.
지금 바로 핑크퐁 유튜브 [구독] 버튼을 눌러주세요!

더핑크퐁컴퍼니의 최신 소식을 만나보세요.
★ 더핑크퐁컴퍼니 홈페이지: https://www.thepinkfongcompany.com/
★ 더핑크퐁컴퍼니 인스타그램: https://www.instagram.com/thepinkfongcompany/

핑크퐁 SNS를 팔로우하고 다양한 정보, 이벤트 소식도 받아보세요!
★ 인스타그램: https://www.instagram.com/pinkfong.ko
★ 페이스북: https://www.facebook.com/pinkfong.ko
★핑크퐁 공식 블로그 :https://blog.naver.com/ss_app
★핑크퐁 공식 웹사이트: https://www.pinkfong.com/ko/
★ 카카오스토리: https://story.kakao.com/ch/pinkfong

핑크퐁 도서, 인형, 각종 굿즈까지 다양한 상품을 만나보고 싶으신가요?
★ 핑크퐁 스토어: https://store.pinkfong.com/

[중요]
더핑크퐁컴퍼니의 사전 동의 없이 핑크퐁의 동요, 애니메이션을 포함한 기타 모든 지적재산들(통틀어 '콘텐츠'라 칭함)을 영리적 목적 및 비영리적 목적으로 사용하는 것은 불법으로 간주됩니다.
핑크퐁 콘텐츠 사용에 대한 모든 문의는 아래 '비즈니스 문의' 링크를 통해 전달 부탁 드립니다. 
비즈니스 문의: https://bizpinkfong.zendesk.com/hc/ko/
",2014-03-11T06:13:16Z,KR,UUqXwKu6dKobXEQFhdKtiJLQ,8590341309,12700000,3883
